TOP.6144e472.0007cdfe	START
TOP.6144e472.0007cdfe	user_options->markov_classic	0
TOP.6144e472.0007cdfe	user_options->markov_disable	0
TOP.6144e472.0007cdfe	user_options->markov_inverse	0
TOP.6144e472.0007cdfe	user_options->markov_threshold	256
TOP.6144e472.0007cdfe	user_options->multiply_accel_disable	0
TOP.6144e472.0007cdfe	user_options->backend_info	0
TOP.6144e472.0007cdfe	user_options->backend_vector_width	0
TOP.6144e472.0007cdfe	user_options->optimized_kernel_enable	0
TOP.6144e472.0007cdfe	user_options->outfile_autohex	1
TOP.6144e472.0007cdfe	user_options->outfile_check_timer	5
TOP.6144e472.0007cdfe	user_options->outfile_format	3
TOP.6144e472.0007cdfe	user_options->wordlist_autohex_disable	0
TOP.6144e472.0007cdfe	user_options->potfile_disable	0
TOP.6144e472.0007cdfe	user_options->progress_only	0
TOP.6144e472.0007cdfe	user_options->quiet	0
TOP.6144e472.0007cdfe	user_options->remove	0
TOP.6144e472.0007cdfe	user_options->remove_timer	60
TOP.6144e472.0007cdfe	user_options->restore	0
TOP.6144e472.0007cdfe	user_options->restore_disable	0
TOP.6144e472.0007cdfe	user_options->restore_timer	60
TOP.6144e472.0007cdfe	user_options->rp_files_cnt	0
TOP.6144e472.0007cdfe	user_options->rp_gen	0
TOP.6144e472.0007cdfe	user_options->rp_gen_func_max	4
TOP.6144e472.0007cdfe	user_options->rp_gen_func_min	1
TOP.6144e472.0007cdfe	user_options->rp_gen_seed	0
TOP.6144e472.0007cdfe	user_options->runtime	0
TOP.6144e472.0007cdfe	user_options->scrypt_tmto	0
TOP.6144e472.0007cdfe	user_options->segment_size	33554432
TOP.6144e472.0007cdfe	user_options->self_test_disable	0
TOP.6144e472.0007cdfe	user_options->slow_candidates	0
TOP.6144e472.0007cdfe	user_options->show	0
TOP.6144e472.0007cdfe	user_options->speed_only	0
TOP.6144e472.0007cdfe	user_options->spin_damp	0
TOP.6144e472.0007cdfe	user_options->status	0
TOP.6144e472.0007cdfe	user_options->status_json	0
TOP.6144e472.0007cdfe	user_options->status_timer	10
TOP.6144e472.0007cdfe	user_options->stdout_flag	0
TOP.6144e472.0007cdfe	user_options->usage	0
TOP.6144e472.0007cdfe	user_options->username	0
TOP.6144e472.0007cdfe	user_options->veracrypt_pim_start	485
TOP.6144e472.0007cdfe	user_options->veracrypt_pim_stop	485
TOP.6144e472.0007cdfe	user_options->version	0
TOP.6144e472.0007cdfe	user_options->workload_profile	2
TOP.6144e472.0007cdfe	user_options->brain_client	0
TOP.6144e472.0007cdfe	user_options->brain_client_features	2
TOP.6144e472.0007cdfe	user_options->brain_server	0
TOP.6144e472.0007cdfe	user_options->brain_server_timer	300
TOP.6144e472.0007cdfe	user_options->brain_port	6863
TOP.6144e472.0007cdfe	user_options->brain_session	0
TOP.6144e472.0007cdfe	hashes->hashfile	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\config_files\NTLM.hashes
TOP.6144e472.0007cdfe	hashes->hashlist_mode	5
TOP.6144e472.0007cdfe	hashes->hashlist_format	0
TOP.6144e472.0007cdfe	hashes->hashes_cnt	0
TOP.6144e472.0007cdfe	hashes->digests_cnt	3
TOP.6144e472.0007cdfe	hashes->digests_done	0
TOP.6144e472.0007cdfe	hashes->salts_cnt	1
TOP.6144e472.0007cdfe	hashes->salts_done	0
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	START
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	straight_ctx->dict	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\wordlists\rockyou.txt
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	runtime_start	1631904907
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	runtime_stop	1631904922
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	status-after-work	5
TOP.6144e472.0007cdfe	SUB.6144e489.000d850e	STOP
TOP.6144e472.0007cdfe	proc_start	1631904882
TOP.6144e472.0007cdfe	proc_stop	1631904923
TOP.6144e472.0007cdfe	STOP
TOP.6144e8ed.00011571	START
TOP.6144e8ed.00011571	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.6144e8ed.00011571	folder_config->install_dir	.
TOP.6144e8ed.00011571	folder_config->profile_dir	.
TOP.6144e8ed.00011571	folder_config->session_dir	.
TOP.6144e8ed.00011571	folder_config->shared_dir	.
TOP.6144e8ed.00011571	user_options->encoding_from	utf-8
TOP.6144e8ed.00011571	user_options->encoding_to	utf-8
TOP.6144e8ed.00011571	user_options->rule_buf_l	:
TOP.6144e8ed.00011571	user_options->rule_buf_r	:
TOP.6144e8ed.00011571	user_options->session	hashcat
TOP.6144e8ed.00011571	user_options->separator	:
TOP.6144e8ed.00011571	user_options->limit	0
TOP.6144e8ed.00011571	user_options->skip	0
TOP.6144e8ed.00011571	user_options->attack_mode	0
TOP.6144e8ed.00011571	user_options->benchmark	0
TOP.6144e8ed.00011571	user_options->benchmark_all	0
